City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
301,Ingham,US,42.6,-84.3833,85.95,20,0,10.36,clear sky
302,Khandbari,NP,27.3747,87.2039,69.78,86,64,2.46,broken clouds
303,Riyadh,SA,24.6877,46.7219,84.34,13,0,8.43,clear sky
304,Moose Factory,CA,51.2585,-80.6094,51.78,82,100,8.05,overcast clouds
305,Ati,TD,13.2154,18.3353,95.25,20,1,2.21,clear sky
306,Cap Malheureux,MU,-19.9842,57.6142,73.47,82,14,3.0,few clouds
307,Taoudenni,ML,22.6783,-3.9836,91.42,8,0,11.83,clear sky
308,Guantanamo,CU,20.1444,-75.2092,78.37,59,94,9.89,overcast clouds
309,Saint-Francois,FR,46.4154,3.9054,63.84,88,100,4.61,light rain
310,Port Hedland,AU,-20.3167,118.5667,68.05,88,55,5.75,broken clouds
311,Tieli,CN,46.95,128.05,38.16,53,57,4.97,broken clouds
312,Eyemouth,GB,55.8713,-2.0901,52.23,81,100,16.49,light rain
313,Ancud,CL,-41.8697,-73.8203,48.4,70,41,16.49,light rain
314,Tual,ID,-5.6667,132.75,83.46,73,100,4.92,overcast clouds
315,Brae,GB,60.3964,-1.353,47.71,87,100,22.06,light rain
316,Mnogovershinnyy,RU,53.9353,139.9242,31.46,93,97,5.19,overcast clouds
317,Rahden,DE,52.4333,8.6167,59.05,69,26,6.04,scattered clouds
318,Viedma,AR,-40.8135,-62.9967,51.08,83,100,16.55,overcast clouds
319,Mattru,SL,7.6244,-11.8332,75.72,95,99,2.51,heavy intensity rain
320,Prince Rupert,CA,54.3161,-130.3201,46.49,71,100,10.36,light rain
321,Pevek,RU,69.7008,170.3133,20.52,92,98,15.48,overcast clouds
322,Palana,RU,59.1167,159.9667,36.14,78,100,3.89,overcast clouds
323,Okhotsk,RU,59.3833,143.3,36.03,83,100,2.42,overcast clouds
324,Kidal,ML,18.4411,1.4078,92.79,8,1,9.4,clear sky
325,Nanortalik,GL,60.1432,-45.2371,35.87,76,100,3.04,overcast clouds
326,Santa Ana,US,33.7456,-117.8678,88.65,19,20,16.11,few clouds
327,Goderich,CA,43.7501,-81.7165,64.31,58,100,14.61,overcast clouds
328,Kodinsk,RU,58.6881,99.1844,43.34,71,77,2.21,broken clouds
329,Rassvet,RU,46.8333,40.75,53.8,65,36,14.07,scattered clouds
330,Auki,SB,-8.7676,160.7034,78.94,82,99,2.42,overcast clouds
331,Ternate,ID,0.8,127.4,81.55,82,100,6.02,overcast clouds
332,Ambilobe,MG,-13.2,49.05,70.95,92,3,3.58,clear sky
333,Ust-Nera,RU,64.5667,143.2,30.45,80,11,3.18,few clouds
334,East London,ZA,-33.0153,27.9116,64.8,82,0,14.65,clear sky
335,Yulara,AU,-25.2406,130.9889,53.91,64,0,7.02,clear sky
336,Tyup,KG,42.7276,78.3648,46.98,72,64,2.51,broken clouds
337,Sistranda,NO,63.7256,8.834,46.36,82,100,25.39,overcast clouds
338,Tvoroyri,FO,61.5556,-6.8111,45.97,67,89,24.96,overcast clouds
